category_id,category_description
801,"Coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled."
802,"Other nuts, fresh or dried, whether or not shelled or peeled."
803,"Bananas, including plantains, fresh or dried."
804,"Dates, figs, pineapples, avocados, guavas, mangoes and mangosteens, fresh or dried."
805,"Citrus fruit, fresh or dried."
806,"Grapes, fresh or dried."
807,"Melons (including watermelons) and papaws (papayas), fresh."
808,"Apples, pears and quinces, fresh."
809,"Apricots, cherries, peaches (including nectarines), plums and sloes, fresh."
810,"Other fruit, fresh."
811,"Fruit and nuts, uncooked or cooked by steaming or boiling in water, frozen, whether or not containing added sugar or other sweetening matter."
812,"Fruit and nuts provisionally preserved, but unsuitable in that state for immediate consumption."
813,"Fruit, dried, mixtures of nuts or dried fruits."
814,"Peel of citrus fruit or melons (including watermelons), fresh, frozen, dried or provisionally preserved in brine, in sulphur water or in other preservative solutions."
